Label;ELMP;IP;Join;Min_MWP
GLOCs buyers;-0,0;0,0;0,0;0,0
GLOCs sellers;1420,13;6691,22;2856,12;945815945,71
GLOCs network;15,83;-0,0;9,74;1463888406,03
Total GLOCs;1435,96;6691,22;2865,86;2409704351,74
LLOCs buyers;0,0;0,0;0,0;0,0
LLOCs sellers;854,76;0,0;216,45;243912384,91
LLOCs network;15,83;0,0;9,74;1463888406,03
Total LLOCs;870,59;0,0;226,19;1707800790,93
MWPs buyers;0,0;0,0;0,0;0,0
MWPs sellers;319,45;4046,58;39,65;0,0
MWPs network;0,0;0,0;0,0;0,0
Total MWPs;319,45;4046,58;39,65;0,0
Runtime in seconds;56,873396158218384;41,233471632003784;56,026010274887085;12,220372438430786
Number of Variables;75094,0;45574,0;45574,0;7702,0
Number of Constraints;32008,0;20446,0;20732,0;4462,0
Average price;30,562813095021923;30,31887183664539;30,484652670676272;170,07468949861945
Average price in period 1;18,480807966118256;18,480807966118256;18,480807966118256;1560,497935946058
Average price in period 2;18,30207010022516;18,30207010022516;18,30207010022516;892,4699762956277
Average price in period 3;18,302070100225148;18,302070100225148;18,302070100225148;19,813092984262955
Average price in period 4;18,65218851422139;18,652188514221386;18,652188514221386;106,77423254721543
Average price in period 5;22,23507372163886;21,469687273310022;21,469687273310026;36,5738065716976
Average price in period 6;33,56921920706141;30,15527179218979;32,85855935741678;429,0821414638207
Average price in period 7;35,41988679717943;35,392533875128585;35,39253387512852;8,996841290025577
Average price in period 8;35,69037178831884;35,392533875128485;35,39253387512882;249,50017000331536
Average price in period 9;35,405655182331124;34,84013969159467;35,39253387512846;191,79989024240274
Average price in period 10;35,69037178831881;35,69037178831887;35,690371788318814;-160,78536326453775
Average price in period 11;35,40565518233111;35,40565518233113;35,40565518233112;404,9911172072477
Average price in period 12;35,14275042600663;34,73443565124858;35,14275042600672;130,03234401409105
Average price in period 13;34,34583792279006;34,34583792279005;34,345837922790075;172,21862807229405
Average price in period 14;33,7556881797853;33,75564877505393;33,75564877505391;-432,82931570513136
Average price in period 15;33,75564877505392;33,75564877505392;33,75564877505391;367,0156911124481
Average price in period 16;33,755688179785295;33,755688179785295;33,755688179785295;-193,61139748997115
Average price in period 17;35,40553711680293;35,029753466318894;35,029753466318915;170,67964071691674
Average price in period 18;36,55538439876547;36,555384398765476;36,8701278919874;294,324059542232
Average price in period 19;35,380687534805965;35,38068753480596;35,380687534805965;63,82029605220915
Average price in period 20;33,348229851683925;33,348229851683925;33,348229851683925;-66,79947094559512
Average price in period 21;30,2868053179377;30,286805317937695;30,2868053179377;-320,99082124064927
Average price in period 22;28,207662402734133;28,207477281758024;28,20747728175803;83,54090426214044
Average price in period 23;28,207326823985834;28,2070997630767;28,207099763076616;-25,548662346647642
Average price in period 24;28,206897002419463;28,206897002419403;28,206897002419556;100,22681063539308
Average price at node DE0 0;42,11257685550273;41,50991017010075;41,98846460533989;26,372833983754834
Average price at node DE0 1;25,711138180775965;25,730301922030716;25,7309767700928;0,023606191683657112
Average price at node DE0 10;35,594166152106176;35,107384854769165;35,43483779163822;23,459243179019627
Average price at node DE0 11;24,202859011090794;24,15233372657256;24,147579596914316;11,451684770423617
Average price at node DE0 12;25,687124523527928;25,67407575629106;25,6830222687753;12,738091162043192
Average price at node DE0 13;27,892104777586123;27,79086480229186;27,87005761824751;14,90436793496052
Average price at node DE0 14;24,895693225634385;24,8442380352482;24,851739124153866;11,444988776082035
Average price at node DE0 15;35,01020164000852;34,52036805687646;34,83812042559362;14,903254554129186
Average price at node DE0 16;36,44970477772004;35,95133642514234;36,29758685147403;15,806883880527401
Average price at node DE0 17;33,40857565053145;33,051534016052535;33,30217019394167;34,7764608283635
Average price at node DE0 18;25,147343952490413;25,0981990436056;25,109090257499364;0,24852815587927304
Average price at node DE0 19;25,488355051942943;25,514602339978023;25,50894295485013;-2,3936776868246645
Average price at node DE0 2;26,296938724224713;26,164694130924786;26,2218377341287;18,493118780180946
Average price at node DE0 20;24,445685470218084;24,395067585531724;24,394515197247205;10,91341613884808
Average price at node DE0 21;22,55458340747025;22,825241653752943;22,69766261465946;0,006978764419738326
Average price at node DE0 22;25,892496608987475;25,850179499056665;25,869463880091363;9,26194486904818
Average price at node DE0 23;25,443668703810175;25,372208748190445;25,397270248242176;18,324199298670617
Average price at node DE0 24;35,258750377864416;34,849497208607886;35,148581058977335;14,903374992976332
Average price at node DE0 25;38,336471269936794;37,80335260040615;38,19368432812763;38,034613104411385
Average price at node DE0 26;33,36408681862418;32,990839278300015;33,24549866246496;30,428570396986924
Average price at node DE0 27;35,23394768701748;34,74528358741881;35,066752729557585;16,27826919213273
Average price at node DE0 28;23,704932126997452;23,65462020543134;23,641240800318652;12,558264336519663
Average price at node DE0 29;24,897765926956605;24,989524821227548;24,955266580208246;0,02855815459163698
Average price at node DE0 3;29,96748710490628;29,765941377979612;29,909445040109148;19,53098306217311
Average price at node DE0 30;27,246510454181934;27,209520744055734;27,255831532297687;14,903885905816315
Average price at node DE0 31;25,751230029122237;25,69131792208813;25,716881145284898;11,477587291956732
Average price at node DE0 32;49,317528730177436;47,813177387760085;48,68136209456389;14,904362779105924
Average price at node DE0 33;54,73360271875885;53,83495603357013;54,62667067389008;14,902632496298535
Average price at node DE0 34;47,92001088585972;47,18115207616531;47,80380392881285;19,99034169237495
Average price at node DE0 35;27,38483172141244;27,327717998649486;27,382396090621423;14,902721203539086
Average price at node DE0 36;24,864322371408235;24,814363442221033;24,820726871723963;0,924760443961102
Average price at node DE0 37;25,833293922978086;25,78804371062932;25,80911682211428;27,584863032487167
Average price at node DE0 38;29,524914576709946;29,343369166827213;29,474246775502607;14,903345396177523
Average price at node DE0 39;24,39050462165738;24,33975725442987;24,338310369016142;11,01756241138929
Average price at node DE0 4;24,613027022568005;24,562345323353615;24,564688525304934;10,54247341410201
Average price at node DE0 5;35,1851453797929;34,71315702617438;35,02898083032511;16,0004811679227
Average price at node DE0 6;25,833293922978086;25,78804371062932;25,80911682211428;1,3638735162499824
Average price at node DE0 7;24,2435449405077;24,38525287185743;24,324939287703497;6246,9809629450465
Average price at node DE0 8;42,139255313722906;41,14390791146169;41,73592965678828;17,74193773088736
Average price at node DE0 9;26,534849163109698;26,467191040155726;26,509298068333717;12,347231696461016
