node,period,price
1,1,0.03
1,2,0.03
1,3,0.03
1,4,0.03
1,5,0.03
1,6,0.03
1,7,0.03
1,8,0.03
1,9,0.03
1,10,0.03
1,11,0.03
1,12,0.03
1,13,0.03
1,14,0.03
1,15,0.03
1,16,0.03
1,17,10.01
1,18,0.03
1,19,14.9
1,20,13.85
1,21,7.62
1,22,7.62
1,23,28.21
1,24,14.9
2,1,11.45
2,2,11.45
2,3,11.45
2,4,11.45
2,5,12.22
2,6,22.35
2,7,28.21
2,8,28.21
2,9,28.21
2,10,28.21
2,11,28.21
2,12,28.21
2,13,28.21
2,14,26.17
2,15,24.86
2,16,24.59
2,17,28.21
2,18,28.32
2,19,28.71
2,20,28.21
2,21,25.57
2,22,25.57
2,23,28.21
2,24,22.56
3,1,11.06
3,2,11.06
3,3,11.06
3,4,11.48
3,5,14.01
3,6,25.63
3,7,28.21
3,8,28.21
3,9,28.21
3,10,28.21
3,11,28.21
3,12,28.21
3,13,28.21
3,14,28.21
3,15,28.21
3,16,28.21
3,17,30.89
3,18,32.48
3,19,28.21
3,20,28.21
3,21,28.21
3,22,28.21
3,23,28.21
3,24,23.69
4,1,19.85
4,2,19.85
4,3,19.85
4,4,19.85
4,5,21.18
4,6,38.76
4,7,48.93
4,8,48.93
4,9,48.93
4,10,48.93
4,11,48.93
4,12,48.93
4,13,48.93
4,14,45.39
4,15,43.12
4,16,42.65
4,17,41.59
4,18,49.12
4,19,38.87
4,20,38.76
4,21,38.76
4,22,38.76
4,23,28.21
4,24,28.2
